"action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","game_month","matchup","opponent"
"Fadeaway Jump Shot","Jump Shot",34.0363,144,8,-118.1258,0,1,0,"2005-06",30,14,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9763,-29,68,-118.2988,0,1,0,"2005-06",0,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9763,149,68,-118.1208,10,2,0,"2005-06",18,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","SAS"
"Layup Shot","Layup",34.0373,-25,7,-118.2948,6,2,0,"2005-06",59,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0013,-41,43,-118.3108,4,2,0,"2005-06",51,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Fadeaway Jump Shot","Jump Shot",34.0263,69,18,-118.2008,4,2,0,"2005-06",10,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9813,-118,63,-118.3878,3,2,0,"2005-06",40,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0083,223,36,-118.0468,3,2,0,"2005-06",9,22,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","11","Away","SAS"
"Jump Bank Shot","Jump Shot",34.0193,72,25,-118.1978,2,2,0,"2005-06",49,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0413,89,3,-118.1808,1,2,0,"2005-06",22,8,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Driving Layup Shot","Layup",34.0433,1,1,-118.2688,1,2,0,"2005-06",16,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8753,-49,169,-118.3188,10,3,0,"2005-06",21,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Away","SAS"
"Layup Shot","Layup",34.0133,-3,31,-118.2728,9,3,0,"2005-06",59,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Fadeaway Jump Shot","Jump Shot",34.0083,143,36,-118.1268,7,3,0,"2005-06",10,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9493,-169,95,-118.4388,6,3,0,"2005-06",14,19,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0043,-10,40,-118.2798,4,3,0,"2005-06",37,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0243,75,20,-118.1948,2,3,0,"2005-06",37,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0293,38,15,-118.2318,1,3,0,"2005-06",22,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8153,90,229,-118.1798,0,3,0,"2005-06",56,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","SAS"
"Layup Shot","Layup",34.0323,-2,12,-118.2718,0,3,0,"2005-06",1,1,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8833,-195,161,-118.4648,3,4,0,"2005-06",19,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Away","SAS"
"Running Jump Shot","Jump Shot",34.0033,-18,41,-118.2878,2,4,0,"2005-06",50,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0373,-100,7,-118.3698,1,4,0,"2005-06",51,10,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","SAS"
"Layup Shot","Layup",34.0323,5,12,-118.2648,1,4,0,"2005-06",16,1,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8153,-74,229,-118.3438,0,4,0,"2005-06",25,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8533,156,191,-118.1138,0,4,0,"2005-06",7,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8533,-113,191,-118.3828,11,1,0,"2005-06",30,22,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Fadeaway Jump Shot","Jump Shot",33.9223,167,122,-118.1028,10,1,0,"2005-06",11,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.9063,151,138,-118.1188,7,1,0,"2005-06",50,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Bank Shot","Jump Shot",33.9703,-149,74,-118.4188,7,1,0,"2005-06",25,16,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.9303,-145,114,-118.4148,7,1,0,"2005-06",19,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8473,-136,197,-118.4058,6,1,0,"2005-06",49,23,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Away","UTA"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,1,0,"2005-06",1,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","UTA"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,2,0,"2005-06",13,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8763,-172,168,-118.4418,11,3,0,"2005-06",11,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8533,-151,191,-118.4208,10,3,0,"2005-06",45,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Away","UTA"
"Running Jump Shot","Jump Shot",33.9583,-3,86,-118.2728,10,3,0,"2005-06",29,8,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",34.0763,-141,-32,-118.4108,9,3,0,"2005-06",41,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","UTA"
"Running Jump Shot","Jump Shot",33.9953,67,49,-118.2028,8,3,0,"2005-06",49,8,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8713,72,173,-118.1978,7,3,0,"2005-06",31,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8453,-149,199,-118.4188,6,3,0,"2005-06",17,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Away","UTA"
"Jump Shot","Jump Shot",34.0653,200,-21,-118.0698,3,3,0,"2005-06",47,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",34.0623,-222,-18,-118.4918,11,4,0,"2005-06",17,22,"0","3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8603,90,184,-118.1798,9,4,0,"2005-06",25,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8653,-69,179,-118.3388,8,4,0,"2005-06",51,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Fadeaway Jump Shot","Jump Shot",33.9443,164,100,-118.1058,4,4,0,"2005-06",44,19,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.9763,-166,68,-118.4358,3,4,0,"2005-06",55,17,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8713,94,173,-118.1758,1,4,0,"2005-06",16,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",34.0583,-151,-14,-118.4208,4,5,0,"2005-06",3,15,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.8653,133,179,-118.1368,3,5,0,"2005-06",20,22,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Away","UTA"
"Turnaround Jump Shot","Jump Shot",33.9353,13,109,-118.2568,2,5,0,"2005-06",22,10,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","12","Away","UTA"
"Jump Shot","Jump Shot",33.9913,-120,53,-118.3898,11,1,0,"2005-06",31,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Home","MIN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,1,0,"2005-06",47,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Home","MIN"
"Jump Shot","Jump Shot",34.0313,100,13,-118.1698,2,1,0,"2005-06",4,10,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Home","MIN"
"Layup Shot","Layup",34.0343,28,10,-118.2418,6,2,0,"2005-06",43,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Home","MIN"
"Running Jump Shot","Jump Shot",34.0313,38,13,-118.2318,5,2,0,"2005-06",14,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.8303,-149,214,-118.4188,2,2,0,"2005-06",54,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Home","MIN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,0,2,0,"2005-06",49,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.9033,120,141,-118.1498,6,3,0,"2005-06",23,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Home","MIN"
"Jump Bank Shot","Jump Shot",34.0083,71,36,-118.1988,4,3,0,"2005-06",30,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.9503,141,94,-118.1288,2,3,0,"2005-06",46,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.9163,-80,128,-118.3498,11,4,0,"2005-06",42,15,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","12","Home","MIN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,4,0,"2005-06",8,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.8883,-112,156,-118.3818,7,4,0,"2005-06",5,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.7993,51,245,-118.2188,1,4,0,"2005-06",16,25,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.8783,-194,166,-118.4638,0,4,0,"2005-06",47,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Home","MIN"
"Jump Shot","Jump Shot",33.8993,131,145,-118.1388,8,1,0,"2005-06",18,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",34.0553,154,-11,-118.1158,7,1,0,"2005-06",42,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9883,1,56,-118.2688,7,1,0,"2005-06",11,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",34.0343,-148,10,-118.4178,5,1,0,"2005-06",42,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",34.0443,107,0,-118.1628,0,1,0,"2005-06",35,10,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9783,15,66,-118.2548,5,2,0,"2005-06",36,6,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9033,-133,141,-118.4028,1,2,0,"2005-06",57,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.7863,112,258,-118.1578,0,2,0,"2005-06",48,28,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","12","Home","CHA"
"Running Jump Shot","Jump Shot",33.9583,-103,86,-118.3728,11,3,0,"2005-06",27,13,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",34.0453,199,-1,-118.0708,10,3,0,"2005-06",28,19,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",34.0443,141,0,-118.1288,8,3,0,"2005-06",25,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Home","CHA"
"Fadeaway Jump Shot","Jump Shot",33.9033,-46,141,-118.3158,4,3,0,"2005-06",45,14,"1","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9903,-179,54,-118.4488,3,3,0,"2005-06",38,18,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.8343,62,210,-118.2078,1,3,0,"2005-06",29,21,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9863,-8,58,-118.2778,0,3,0,"2005-06",26,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.7893,103,255,-118.1668,0,3,0,"2005-06",0,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9933,-25,51,-118.2948,8,4,0,"2005-06",43,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",34.0013,-16,43,-118.2858,8,4,0,"2005-06",39,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9223,-56,122,-118.3258,7,4,0,"2005-06",57,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.9573,28,87,-118.2418,6,4,0,"2005-06",11,9,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","12","Home","CHA"
"Jump Bank Shot","Jump Shot",34.0143,-61,30,-118.3308,4,4,0,"2005-06",28,6,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.8683,31,176,-118.2388,3,4,0,"2005-06",56,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.8863,-204,158,-118.4738,2,4,0,"2005-06",49,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Home","CHA"
"Jump Shot","Jump Shot",33.8813,200,163,-118.0698,0,4,0,"2005-06",49,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","12","Home","CHA"
"Jump Shot","Jump Shot",34.0623,-168,-18,-118.4378,10,1,0,"2005-06",54,16,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0243,110,20,-118.1598,9,1,0,"2005-06",33,11,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","MIL"
"Layup Shot","Layup",34.0443,0,0,-118.2698,8,1,0,"2005-06",57,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0113,-39,33,-118.3088,6,1,0,"2005-06",16,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.7793,-145,265,-118.4148,5,1,0,"2005-06",40,30,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0653,107,-21,-118.1628,4,1,0,"2005-06",54,10,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.9093,-74,135,-118.3438,3,1,0,"2005-06",19,15,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","12","Away","MIL"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,2,0,"2005-06",28,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.9173,79,127,-118.1908,7,2,0,"2005-06",30,14,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0343,-126,10,-118.3958,4,2,0,"2005-06",57,12,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.9683,-174,76,-118.4438,4,2,0,"2005-06",24,18,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.9623,-149,82,-118.4188,3,2,0,"2005-06",53,17,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","MIL"
"Layup Shot","Layup",34.0443,0,0,-118.2698,2,2,0,"2005-06",19,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","MIL"
"Dunk Shot","Dunk",34.0443,0,0,-118.2698,0,2,0,"2005-06",25,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0183,148,26,-118.1218,11,3,0,"2005-06",2,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0733,159,-29,-118.1108,10,3,0,"2005-06",58,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0623,-130,-18,-118.3998,10,3,0,"2005-06",27,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.9803,-189,64,-118.4588,4,3,0,"2005-06",22,19,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.9603,95,84,-118.1748,11,4,0,"2005-06",13,12,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.9953,153,49,-118.1168,10,4,0,"2005-06",39,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0673,163,-23,-118.1068,9,4,0,"2005-06",19,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.8023,135,242,-118.1348,7,4,0,"2005-06",37,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0703,-128,-26,-118.3978,5,4,0,"2005-06",42,13,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",34.0633,146,-19,-118.1238,4,4,0,"2005-06",52,14,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","MIL"
"Jump Shot","Jump Shot",33.8243,34,220,-118.2358,8,1,0,"2005-06",50,22,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","12","Away","TOR"
"Fadeaway Jump Shot","Jump Shot",33.9623,0,82,-118.2698,7,1,0,"2005-06",27,8,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","12","Away","TOR"
"Jump Shot","Jump Shot",34.0273,207,17,-118.0628,5,1,0,"2005-06",25,20,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","TOR"
"Jump Shot","Jump Shot",34.0243,108,20,-118.1618,2,1,0,"2005-06",46,10,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","TOR"
"Jump Shot","Jump Shot",33.9883,133,56,-118.1368,1,1,0,"2005-06",14,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","TOR"
"Jump Shot","Jump Shot",33.8043,57,240,-118.2128,0,1,0,"2005-06",0,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","12","Away","TOR"
"Fadeaway Jump Shot","Jump Shot",33.9623,-189,82,-118.4588,0,2,0,"2005-06",0,20,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","TOR"
"Turnaround Jump Shot","Jump Shot",33.9903,-149,54,-118.4188,6,3,0,"2005-06",38,15,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","TOR"
"Driving Finger Roll Shot","Layup",34.0443,0,0,-118.2698,5,3,0,"2005-06",8,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","TOR"
"Jump Shot","Jump Shot",34.0443,205,0,-118.0648,10,1,0,"2005-06",22,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",34.0243,61,20,-118.2088,9,1,0,"2005-06",26,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",34.0083,-128,36,-118.3978,8,2,0,"2005-06",31,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",34.0143,154,30,-118.1158,7,2,0,"2005-06",55,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.9723,-102,72,-118.3718,5,2,0,"2005-06",56,12,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.8843,-141,160,-118.4108,9,3,0,"2005-06",32,21,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",34.0063,204,38,-118.0658,8,3,0,"2005-06",55,20,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.8713,-3,173,-118.2728,8,3,0,"2005-06",28,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.8483,-92,196,-118.3618,8,3,0,"2005-06",11,21,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",34.0083,69,36,-118.2008,5,3,0,"2005-06",12,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.9193,-149,125,-118.4188,1,3,0,"2005-06",37,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.8783,-187,166,-118.4568,0,3,0,"2005-06",0,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.9273,177,117,-118.0928,3,4,0,"2005-06",49,21,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",34.0183,-186,26,-118.4558,3,4,0,"2005-06",14,18,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","12","Away","CHI"
"Layup Shot","Layup",34.0443,0,0,-118.2698,2,4,0,"2005-06",48,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",34.0163,194,28,-118.0758,1,4,0,"2005-06",33,19,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.8883,161,156,-118.1088,1,4,0,"2005-06",3,22,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","12","Away","CHI"
"Jump Shot","Jump Shot",33.9953,-133,49,-118.4028,0,4,0,"2005-06",4,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","12","Away","CHI"
